10@Easy@9,0,0,0,0,2,0,0,3,0,1,3,6,0,0,0,2,0,0,7,0,0,1,5,0,0,9,0,0,0,0,0,6,4,0,8,0,0,8,7,0,4,3,0,0,6,0,5,1,0,0,0,0,0,4,0,0,9,5,0,0,7,0,0,2,0,0,0,7,5,8,0,7,0,0,2,0,0,0,0,4@ @
11@Medium@1,0,9,0,0,8,0,0,6,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,5,3,7,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0,5,0,1,0,0,0,0,7,3,0,4,9,0,0,0,0,0,0,9,0,6,7,0,0,1,0,0,8,7,0,3,0@ @
15@Medium@9,0,0,0,0,0,4,8,6,0,6,0,8,9,0,1,5,2,2,0,0,5,0,6,0,0,0,0,1,6,0,3,5,0,4,0,0,2,0,0,0,0,0,6,0,0,9,0,6,8,0,2,3,0,0,0,0,9,0,8,0,0,4,0,0,2,0,5,0,0,0,0,6,4,9,0,0,0,0,0,8@ @
12@Hard@0,0,0,0,0,0,0,5,6,1,0,0,0,2,0,0,0,3,8,0,0,1,0,0,0,7,0,0,0,0,9,0,0,2,0,0,0,7,6,5,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,5,0,0,3,0,9,0,0@ @
13@Hard@8,0,0,0,9,0,0,0,2,0,0,6,0,8,7,4,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,7,0,0,2,0,0,5,8,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,2,0,0,0,3,8,5,0,7,0,0,7,0,0,0,4,0,0,0,6@ @
17@Hard@2,0,0,0,6,0,0,0,1,0,0,3,0,9,8,2,0,0,0,7,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,6,4,0,0,2,0,0,5,3,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,3,0,0,0,5,6,1,0,7,0,0,7,0,0,0,4,0,0,0,8@ @
16@Easy@6,0,8,3,7,2,0,5,4,0,0,9,5,0,8,0,0,0,0,0,0,1,6,0,8,7,2,0,0,1,0,0,4,3,2,0,2,0,0,9,0,6,0,0,8,0,6,4,2,0,0,7,0,0,1,8,2,0,9,7,0,0,0,0,0,0,4,0,5,6,0,0,5,4,0,8,3,1,2,0,7@ @
0@Medium@1,5,2,3,0,8,0,6,0,0,0,0,5,0,4,0,0,0,7,0,0,0,0,6,0,0,3,0,0,0,0,3,5,2,0,4,9,0,0,4,0,0,5,0,0,0,0,0,0,0,9,0,8,0,5,0,0,6,9,0,3,4,7,2,0,0,0,0,0,6,0,0,0,6,0,0,0,1,0,0,8@ @
1@Medium@0,5,0,0,0,0,1,0,8,1,8,0,0,0,0,0,2,0,0,0,9,0,0,6,0,0,5,0,0,0,4,0,2,3,0,0,2,0,3,0,8,0,0,0,0,0,0,0,3,0,0,9,7,0,0,0,0,0,9,1,0,4,6,0,0,0,0,3,0,0,0,0,0,0,2,5,0,0,8,9,0@ @
2@Medium@0,2,0,1,0,3,4,0,0,0,0,0,0,0,7,1,5,0,0,0,7,9,0,5,0,0,0,4,0,0,0,3,0,8,0,1,3,8,0,0,0,0,0,6,7,0,0,0,6,0,0,0,4,0,8,9,0,0,0,0,6,0,0,1,0,0,0,0,2,0,0,8,0,0,5,0,0,6,0,9,0@ @
